at_index,sr_index,max_year,min_year,distance,class,at_name,sr_name
39,7,1992,1989,7.0,1,A/adjame/gr1272/2011,A/kansas/14/2017
39,8,1993,1992,1.5984247605277189,0,A/adjame/gr1272/2011,A/singapore/infimh-16-0019/2016
39,44,1996,1992,5.638073837180719,1,A/adjame/gr1272/2011,A/adjame/gr1327/2011
45,1,1989,1989,0.0,0,A/adjame/gr765/2011,A/bangladesh/4005/2020
45,26,1989,1986,4.415037499278844,1,A/adjame/gr765/2011,A/slovenia/49/2024
45,2,1995,1989,3.878970510151082,1,A/adjame/gr765/2011,A/cambodia/e0826360/2020
45,27,1994,1989,0.0,0,A/adjame/gr765/2011,A/sydney/856/2023
45,41,1991,1989,1.0,0,A/adjame/gr765/2011,A/hongkong/3969/2011
45,4,1995,1989,3.503712180197992,1,A/adjame/gr765/2011,A/england/538/2018
45,42,1993,1989,4.749534267669262,1,A/adjame/gr765/2011,A/perth/10/2010
45,11,1989,1988,4.142872886768054,1,A/adjame/gr765/2011,A/netherlands/10260/2018
45,7,1989,1989,4.0,1,A/adjame/gr765/2011,A/kansas/14/2017
45,8,1993,1989,3.598424760527718,1,A/adjame/gr765/2011,A/singapore/infimh-16-0019/2016
45,28,1989,1987,2.748640127547124,1,A/adjame/gr765/2011,A/adana/111/2014
45,29,1989,1987,3.925999418556223,1,A/adjame/gr765/2011,A/almaty/2958/2013
45,30,1990,1989,2.014950341465972,1,A/adjame/gr765/2011,A/hongkong/146/2013
45,13,1989,1985,3.7502045092798713,1,A/adjame/gr765/2011,A/acores/su43/2012
1,1,1989,1989,0.0,0,A/bangladesh/4005/2020,A/bangladesh/4005/2020
1,26,1989,1986,5.0,1,A/bangladesh/4005/2020,A/slovenia/49/2024
1,40,1989,1989,0.0,0,A/bangladesh/4005/2020,A/brisbane/10/2007
1,37,1989,1986,3.0,1,A/bangladesh/4005/2020,A/adana/223/2014
1,41,1991,1989,2.4827243067904186,1,A/bangladesh/4005/2020,A/hongkong/3969/2011
1,11,1989,1988,4.142872886768054,1,A/bangladesh/4005/2020,A/netherlands/10260/2018
1,7,1989,1989,4.0,1,A/bangladesh/4005/2020,A/kansas/14/2017
1,28,1989,1987,3.536589650432135,1,A/bangladesh/4005/2020,A/adana/111/2014
1,29,1989,1987,3.925999418556223,1,A/bangladesh/4005/2020,A/almaty/2958/2013
1,24,1989,1985,5.499845887083206,1,A/bangladesh/4005/2020,A/massachusetts/18/2022
1,30,1990,1989,1.5999128421871276,0,A/bangladesh/4005/2020,A/hongkong/146/2013
1,32,1989,1987,1.581953750848818,0,A/bangladesh/4005/2020,A/samara/73/2013
1,13,1989,1985,3.251953641752046,1,A/bangladesh/4005/2020,A/acores/su43/2012
46,10,1982,1979,0.4985608548411274,0,A/agadir/300/2023,A/bretagne/1413/2017
46,11,1988,1982,3.1428728867680547,1,A/agadir/300/2023,A/netherlands/10260/2018
46,12,1982,1982,0.0,0,A/agadir/300/2023,A/switzerland/8060/2017
46,13,1985,1982,0.0,0,A/agadir/300/2023,A/acores/su43/2012
47,17,1972,1968,3.3532613016921538,1,A/brandenburg/15/2022,A/perth/16/2009
47,18,1968,1968,1.854322544804365,0,A/brandenburg/15/2022,A/stockholm/18/2011
47,23,1973,1968,3.4927352088859784,1,A/brandenburg/15/2022,A/lisboa/216/2023
48,15,1972,1968,1.0,0,A/catalonia/nsvh161512067/2022,A/hawaii/22/2012
48,16,1974,1968,2.0,1,A/catalonia/nsvh161512067/2022,A/iowa/19/2010
48,17,1972,1968,4.0,1,A/catalonia/nsvh161512067/2022,A/perth/16/2009
48,18,1968,1968,1.0,0,A/catalonia/nsvh161512067/2022,A/stockholm/18/2011
48,23,1973,1968,3.938991438775543,1,A/catalonia/nsvh161512067/2022,A/lisboa/216/2023
49,17,1972,1968,2.138292713414144,1,A/darwin/9/2021,A/perth/16/2009
49,18,1968,1968,0.1382927134141439,0,A/darwin/9/2021,A/stockholm/18/2011
49,23,1973,1968,2.076044190754621,1,A/darwin/9/2021,A/lisboa/216/2023
50,14,1977,1976,1.0,0,A/lille/50053/2022,A/berlin/93/2011
50,26,1986,1976,5.0,1,A/lille/50053/2022,A/slovenia/49/2024
50,17,1976,1972,4.0,1,A/lille/50053/2022,A/perth/16/2009
50,22,1985,1976,4.499845887083206,1,A/lille/50053/2022,A/ad_duqm/7241563/2024
50,23,1976,1973,1.9389914387755427,0,A/lille/50053/2022,A/lisboa/216/2023
50,12,1982,1976,0.0,0,A/lille/50053/2022,A/switzerland/8060/2017
50,24,1985,1976,5.499845887083206,1,A/lille/50053/2022,A/massachusetts/18/2022
50,13,1985,1976,3.7502045092798713,1,A/lille/50053/2022,A/acores/su43/2012
51,17,1972,1969,3.498560854841128,1,A/norway/24873/2021,A/perth/16/2009
51,18,1969,1968,1.208185928838174,0,A/norway/24873/2021,A/stockholm/18/2011
51,23,1973,1969,3.440740571247717,1,A/norway/24873/2021,A/lisboa/216/2023
52,17,1975,1972,5.0,1,A/slovenia/8720/2022,A/perth/16/2009
52,18,1975,1968,5.0,1,A/slovenia/8720/2022,A/stockholm/18/2011
52,23,1975,1973,0.0,0,A/slovenia/8720/2022,A/lisboa/216/2023
53,17,1972,1971,2.500154112916795,1,A/stockholm/5/2021,A/perth/16/2009
53,18,1971,1968,0.5001541129167946,0,A/stockholm/5/2021,A/stockholm/18/2011
53,23,1973,1971,3.1419784609393973,1,A/stockholm/5/2021,A/lisboa/216/2023
15,15,1972,1972,0.0,0,A/hawaii/22/2012,A/hawaii/22/2012
15,16,1974,1972,0.0,0,A/hawaii/22/2012,A/iowa/19/2010
15,17,1972,1972,2.0,1,A/hawaii/22/2012,A/perth/16/2009
15,18,1972,1968,4.0,1,A/hawaii/22/2012,A/stockholm/18/2011
15,23,1973,1972,0.0,0,A/hawaii/22/2012,A/lisboa/216/2023
54,17,1972,1971,2.500154112916795,1,A/thuringen/10/2022,A/perth/16/2009
54,18,1971,1968,0.5001541129167946,0,A/thuringen/10/2022,A/stockholm/18/2011
54,23,1973,1971,2.9389914387755427,1,A/thuringen/10/2022,A/lisboa/216/2023
55,10,1979,1976,3.0,1,A/agadir/87/2011,A/bretagne/1413/2017
55,17,1976,1972,5.415037499278844,1,A/agadir/87/2011,A/perth/16/2009
55,22,1985,1976,1.4998458870832054,0,A/agadir/87/2011,A/ad_duqm/7241563/2024
55,23,1976,1973,0.9389914387755428,0,A/agadir/87/2011,A/lisboa/216/2023
55,12,1982,1976,0.0,0,A/agadir/87/2011,A/switzerland/8060/2017
55,13,1985,1976,1.7502045092798717,0,A/agadir/87/2011,A/acores/su43/2012
56,17,1972,1972,3.0,1,A/aichi/218/2019,A/perth/16/2009
56,18,1972,1968,4.0,1,A/aichi/218/2019,A/stockholm/18/2011
56,23,1973,1972,0.9389914387755428,0,A/aichi/218/2019,A/lisboa/216/2023
57,17,1972,1972,3.0,1,A/southaustralia/34/2019,A/perth/16/2009
57,18,1972,1968,4.0,1,A/southaustralia/34/2019,A/stockholm/18/2011
57,23,1973,1972,0.9389914387755428,0,A/southaustralia/34/2019,A/lisboa/216/2023
58,17,1975,1972,4.0,1,A/aix/noms22.1.44/2022,A/perth/16/2009
58,18,1975,1968,4.0,1,A/aix/noms22.1.44/2022,A/stockholm/18/2011
58,23,1975,1973,0.0,0,A/aix/noms22.1.44/2022,A/lisboa/216/2023
59,17,1972,1970,4.0,1,A/cambodia/925256/2020,A/perth/16/2009
59,18,1970,1968,2.0,1,A/cambodia/925256/2020,A/stockholm/18/2011
59,23,1973,1970,3.938991438775543,1,A/cambodia/925256/2020,A/lisboa/216/2023
60,15,1975,1972,2.0,1,A/poland/97/2022,A/hawaii/22/2012
60,16,1975,1974,0.0,0,A/poland/97/2022,A/iowa/19/2010
60,17,1975,1972,4.0,1,A/poland/97/2022,A/perth/16/2009
60,18,1975,1968,5.0,1,A/poland/97/2022,A/stockholm/18/2011
60,23,1975,1973,0.0,0,A/poland/97/2022,A/lisboa/216/2023
61,17,1975,1972,4.0,1,A/aix-en-provence/2846/2013,A/perth/16/2009
61,23,1975,1973,0.0,0,A/aix-en-provence/2846/2013,A/lisboa/216/2023
62,17,1973,1972,2.0,1,A/akkar/22/2023,A/perth/16/2009
62,18,1973,1968,4.0,1,A/akkar/22/2023,A/stockholm/18/2011
62,23,1973,1973,0.0,0,A/akkar/22/2023,A/lisboa/216/2023
63,14,1977,1977,1.0,0,A/akkar.lbn/6574/2021,A/berlin/93/2011
63,26,1986,1977,5.0,1,A/akkar.lbn/6574/2021,A/slovenia/49/2024
63,17,1977,1972,4.0,1,A/akkar.lbn/6574/2021,A/perth/16/2009
63,18,1977,1968,7.0,1,A/akkar.lbn/6574/2021,A/stockholm/18/2011
63,22,1985,1977,3.914883386362049,1,A/akkar.lbn/6574/2021,A/ad_duqm/7241563/2024
63,23,1977,1973,1.9389914387755427,0,A/akkar.lbn/6574/2021,A/lisboa/216/2023
63,12,1982,1977,0.0,0,A/akkar.lbn/6574/2021,A/switzerland/8060/2017
63,24,1985,1977,5.499845887083206,1,A/akkar.lbn/6574/2021,A/massachusetts/18/2022
63,13,1985,1977,3.7502045092798713,1,A/akkar.lbn/6574/2021,A/acores/su43/2012
64,10,1981,1979,0.4985608548411274,0,A/akkar.lbn/6728/2021,A/bretagne/1413/2017
64,11,1988,1981,2.1428728867680547,1,A/akkar.lbn/6728/2021,A/netherlands/10260/2018
64,12,1982,1981,0.0,0,A/akkar.lbn/6728/2021,A/switzerland/8060/2017
64,13,1985,1981,0.0,0,A/akkar.lbn/6728/2021,A/acores/su43/2012
65,14,1977,1976,1.0,0,A/akkar.lbn/7377/2021,A/berlin/93/2011
65,26,1986,1976,5.0,1,A/akkar.lbn/7377/2021,A/slovenia/49/2024
65,17,1976,1972,5.0,1,A/akkar.lbn/7377/2021,A/perth/16/2009
65,23,1976,1973,2.9389914387755427,1,A/akkar.lbn/7377/2021,A/lisboa/216/2023
65,24,1985,1976,5.499845887083206,1,A/akkar.lbn/7377/2021,A/massachusetts/18/2022
65,13,1985,1976,3.7502045092798713,1,A/akkar.lbn/7377/2021,A/acores/su43/2012
66,17,1974,1972,4.0,1,A/akmolinsk/145/2017,A/perth/16/2009
66,18,1974,1968,5.0,1,A/akmolinsk/145/2017,A/stockholm/18/2011
66,23,1974,1973,0.9389914387755428,0,A/akmolinsk/145/2017,A/lisboa/216/2023
67,17,1976,1972,5.0,1,A/stockholm/6/2014,A/perth/16/2009
67,23,1976,1973,0.9389914387755428,0,A/stockholm/6/2014,A/lisboa/216/2023
68,14,1977,1973,7.0,1,A/aksaray/4048/2016,A/berlin/93/2011
68,26,1986,1973,9.0,1,A/aksaray/4048/2016,A/slovenia/49/2024
68,17,1973,1972,3.0,1,A/aksaray/4048/2016,A/perth/16/2009
68,18,1973,1968,3.0,1,A/aksaray/4048/2016,A/stockholm/18/2011
68,23,1973,1973,0.0,0,A/aksaray/4048/2016,A/lisboa/216/2023
69,14,1977,1976,1.0,0,A/bucuresti/193605/2016,A/berlin/93/2011
69,26,1986,1976,5.415037499278844,1,A/bucuresti/193605/2016,A/slovenia/49/2024
69,17,1976,1972,5.0,1,A/bucuresti/193605/2016,A/perth/16/2009
69,23,1976,1973,1.9389914387755427,0,A/bucuresti/193605/2016,A/lisboa/216/2023
69,24,1985,1976,5.499845887083206,1,A/bucuresti/193605/2016,A/massachusetts/18/2022
69,13,1985,1976,3.428276414392509,1,A/bucuresti/193605/2016,A/acores/su43/2012
16,15,1974,1972,1.0,0,A/iowa/19/2010,A/hawaii/22/2012
16,16,1974,1974,0.0,0,A/iowa/19/2010,A/iowa/19/2010
16,17,1974,1972,4.0,1,A/iowa/19/2010,A/perth/16/2009
16,18,1974,1968,5.0,1,A/iowa/19/2010,A/stockholm/18/2011
16,23,1974,1973,0.0,0,A/iowa/19/2010,A/lisboa/216/2023
70,17,1974,1972,4.137052751979079,1,A/hongkong/4801/2014,A/perth/16/2009
70,18,1974,1968,6.321928094887363,1,A/hongkong/4801/2014,A/stockholm/18/2011
70,23,1974,1973,0.4391455516923373,0,A/hongkong/4801/2014,A/lisboa/216/2023
71,17,1972,1972,2.500154112916795,1,A/switzerland/9715293/2013,A/perth/16/2009
71,18,1972,1968,1.498560854841127,0,A/switzerland/9715293/2013,A/stockholm/18/2011
71,23,1973,1972,2.440740571247717,1,A/switzerland/9715293/2013,A/lisboa/216/2023
72,10,1979,1976,4.0,1,A/aktobe/2935/2013,A/bretagne/1413/2017
72,17,1976,1972,5.415037499278844,1,A/aktobe/2935/2013,A/perth/16/2009
72,22,1985,1976,1.9148833863620487,0,A/aktobe/2935/2013,A/ad_duqm/7241563/2024
72,23,1976,1973,1.9389914387755427,0,A/aktobe/2935/2013,A/lisboa/216/2023
72,12,1982,1976,0.0,0,A/aktobe/2935/2013,A/switzerland/8060/2017
72,13,1985,1976,2.165242008558715,1,A/aktobe/2935/2013,A/acores/su43/2012
73,17,1972,1971,3.7072182507721534,1,A/alabama/05/2010,A/perth/16/2009
73,18,1971,1968,2.9556058806415466,1,A/alabama/05/2010,A/stockholm/18/2011
73,23,1973,1971,4.428029519498163,1,A/alabama/05/2010,A/lisboa/216/2023
74,14,1977,1976,0.6780719051126377,0,A/hongkong/1985/2009,A/berlin/93/2011
74,26,1986,1976,5.0,1,A/hongkong/1985/2009,A/slovenia/49/2024
74,17,1976,1972,4.607682577221239,1,A/hongkong/1985/2009,A/perth/16/2009
74,37,1986,1976,3.0,1,A/hongkong/1985/2009,A/adana/223/2014
74,22,1985,1976,4.499845887083206,1,A/hongkong/1985/2009,A/ad_duqm/7241563/2024
74,23,1976,1973,1.9389914387755427,0,A/hongkong/1985/2009,A/lisboa/216/2023
74,12,1982,1976,0.0,0,A/hongkong/1985/2009,A/switzerland/8060/2017
74,24,1985,1976,5.499845887083206,1,A/hongkong/1985/2009,A/massachusetts/18/2022
74,13,1985,1976,4.251953641752047,1,A/hongkong/1985/2009,A/acores/su43/2012
75,17,1974,1972,4.0,1,A/hongkong/34430/2009,A/perth/16/2009
75,18,1974,1968,6.0,1,A/hongkong/34430/2009,A/stockholm/18/2011
75,23,1974,1973,0.0,0,A/hongkong/34430/2009,A/lisboa/216/2023
76,17,1973,1972,3.0,1,A/rhodeisland/01/2010,A/perth/16/2009
76,18,1973,1968,4.62148837674627,1,A/rhodeisland/01/2010,A/stockholm/18/2011
76,23,1973,1973,0.0,0,A/rhodeisland/01/2010,A/lisboa/216/2023
77,17,1972,1969,3.0,1,A/uruguay/716/2007,A/perth/16/2009
77,18,1969,1968,2.0,1,A/uruguay/716/2007,A/stockholm/18/2011
77,23,1973,1969,3.3540289380543866,1,A/uruguay/716/2007,A/lisboa/216/2023
78,17,1972,1969,3.0,1,A/wisconsin/15/2009,A/perth/16/2009
78,18,1969,1968,0.0,0,A/wisconsin/15/2009,A/stockholm/18/2011
78,23,1973,1969,3.938991438775543,1,A/wisconsin/15/2009,A/lisboa/216/2023
79,17,1972,1970,3.0,1,A/alaska/01/2021,A/perth/16/2009
79,18,1970,1968,0.2068844447256523,0,A/alaska/01/2021,A/stockholm/18/2011
80,14,1977,1974,7.0,1,A/alaska/232/2015,A/berlin/93/2011
80,26,1986,1974,9.0,1,A/alaska/232/2015,A/slovenia/49/2024
80,17,1974,1972,3.7072182507721534,1,A/alaska/232/2015,A/perth/16/2009
80,18,1974,1968,4.415037499278844,1,A/alaska/232/2015,A/stockholm/18/2011
80,23,1974,1973,0.0,0,A/alaska/232/2015,A/lisboa/216/2023
35,34,1997,1996,2.7924649599799447,1,A/adana/117/2014,A/adana/116/2014
35,35,1996,1996,0.0,0,A/adana/117/2014,A/adana/117/2014
35,3,1996,1993,3.576925181655738,1,A/adana/117/2014,A/denmark/3264/2019
35,81,1996,1995,3.501749132472175,1,A/adana/117/2014,A/alaska/5/2010
35,27,1996,1994,0.0,0,A/adana/117/2014,A/sydney/856/2023
35,4,1996,1995,2.293145194258333,1,A/adana/117/2014,A/england/538/2018
35,5,1996,1995,0.6561169187045895,0,A/adana/117/2014,A/hongkong/2671/2019
35,6,1996,1994,0.5145731728297582,0,A/adana/117/2014,A/hongkong/5738/2014
35,36,1998,1996,4.255500733148386,1,A/adana/117/2014,A/adana/199/2014
35,8,1996,1993,2.290996235335472,1,A/adana/117/2014,A/singapore/infimh-16-0019/2016
82,1,1991,1989,1.7157915710617964,0,A/guadeloupe/202/2010,A/bangladesh/4005/2020
82,26,1991,1986,1.5001541129167946,0,A/guadeloupe/202/2010,A/slovenia/49/2024
82,11,1991,1988,0.0,0,A/guadeloupe/202/2010,A/netherlands/10260/2018
82,7,1991,1989,1.0,0,A/guadeloupe/202/2010,A/kansas/14/2017
82,28,1991,1987,0.0,0,A/guadeloupe/202/2010,A/adana/111/2014
82,29,1991,1987,0.5109619192773793,0,A/guadeloupe/202/2010,A/almaty/2958/2013
82,30,1991,1990,1.5999128421871276,0,A/guadeloupe/202/2010,A/hongkong/146/2013
82,13,1991,1985,0.0,0,A/guadeloupe/202/2010,A/acores/su43/2012
83,22,1988,1985,0.8330892951984018,0,A/wisconsin/67/2005,A/ad_duqm/7241563/2024
83,11,1988,1988,2.1428728867680547,1,A/wisconsin/67/2005,A/netherlands/10260/2018
83,12,1988,1982,0.0,0,A/wisconsin/67/2005,A/switzerland/8060/2017
83,29,1988,1987,5.51096191927738,1,A/wisconsin/67/2005,A/almaty/2958/2013
83,32,1988,1987,2.166916251569974,1,A/wisconsin/67/2005,A/samara/73/2013
83,13,1988,1985,0.0,0,A/wisconsin/67/2005,A/acores/su43/2012
84,10,1984,1979,4.0,1,A/albania/290469/2023,A/bretagne/1413/2017
84,37,1986,1984,1.0,0,A/albania/290469/2023,A/adana/223/2014
84,38,1985,1984,0.0,0,A/albania/290469/2023,A/adana/66/2014
84,11,1988,1984,3.1428728867680547,1,A/albania/290469/2023,A/netherlands/10260/2018
84,12,1984,1982,0.0,0,A/albania/290469/2023,A/switzerland/8060/2017
26,10,1986,1979,4.234465253637023,1,A/slovenia/49/2024,A/bretagne/1413/2017
26,1,1989,1986,3.2172307162206693,1,A/slovenia/49/2024,A/bangladesh/4005/2020
26,26,1986,1986,0.0,0,A/slovenia/49/2024,A/slovenia/49/2024
26,37,1986,1986,0.0,0,A/slovenia/49/2024,A/adana/223/2014
26,41,1991,1986,5.0,1,A/slovenia/49/2024,A/hongkong/3969/2011
26,19,1986,1980,2.0,1,A/slovenia/49/2024,A/texas/50/2012
26,20,1986,1982,3.0,1,A/slovenia/49/2024,A/victoria/208/2009
26,21,1986,1982,0.0,0,A/slovenia/49/2024,A/victoria/361/2011
26,22,1986,1985,0.4998458870832054,0,A/slovenia/49/2024,A/ad_duqm/7241563/2024
26,38,1986,1985,1.0,0,A/slovenia/49/2024,A/adana/66/2014
26,11,1988,1986,2.1428728867680547,1,A/slovenia/49/2024,A/netherlands/10260/2018
26,12,1986,1982,0.0,0,A/slovenia/49/2024,A/switzerland/8060/2017
26,85,1986,1980,3.0,1,A/slovenia/49/2024,A/albania/290520/2023
26,29,1987,1986,3.925999418556223,1,A/slovenia/49/2024,A/almaty/2958/2013
26,24,1986,1985,0.0,0,A/slovenia/49/2024,A/massachusetts/18/2022
26,32,1987,1986,2.175961391172981,1,A/slovenia/49/2024,A/samara/73/2013
26,13,1986,1985,0.0,0,A/slovenia/49/2024,A/acores/su43/2012
86,26,1989,1986,2.0,1,A/albania/290558/2023,A/slovenia/49/2024
86,40,1989,1989,0.0,0,A/albania/290558/2023,A/brisbane/10/2007
86,22,1989,1985,3.499845887083205,1,A/albania/290558/2023,A/ad_duqm/7241563/2024
86,7,1989,1989,1.0,0,A/albania/290558/2023,A/kansas/14/2017
86,28,1989,1987,0.0,0,A/albania/290558/2023,A/adana/111/2014
86,29,1989,1987,0.1773592910090989,0,A/albania/290558/2023,A/almaty/2958/2013
87,1,1991,1989,0.2172307162206691,0,A/albania/290562/2023,A/bangladesh/4005/2020
87,26,1991,1986,3.0,1,A/albania/290562/2023,A/slovenia/49/2024
87,2,1995,1991,5.878970510151082,1,A/albania/290562/2023,A/cambodia/e0826360/2020
87,4,1995,1991,5.463070195700645,1,A/albania/290562/2023,A/england/538/2018
87,11,1991,1988,3.1428728867680547,1,A/albania/290562/2023,A/netherlands/10260/2018
87,7,1991,1989,2.500154112916795,1,A/albania/290562/2023,A/kansas/14/2017
87,8,1993,1991,4.598424760527719,1,A/albania/290562/2023,A/singapore/infimh-16-0019/2016
87,28,1991,1987,3.3336026282682805,1,A/albania/290562/2023,A/adana/111/2014
87,29,1991,1987,4.012711051749554,1,A/albania/290562/2023,A/almaty/2958/2013
87,30,1991,1990,0.0,0,A/albania/290562/2023,A/hongkong/146/2013
87,13,1991,1985,2.750204509279872,1,A/albania/290562/2023,A/acores/su43/2012
88,1,1991,1989,1.2172307162206693,0,A/albania/290567/2023,A/bangladesh/4005/2020
88,26,1991,1986,4.667292066359395,1,A/albania/290567/2023,A/slovenia/49/2024
88,2,1995,1991,3.071615588093477,1,A/albania/290567/2023,A/cambodia/e0826360/2020
88,27,1994,1991,0.0,0,A/albania/290567/2023,A/sydney/856/2023
